match_id,match_date,year,round,venue,home_team,away_team,home_score,away_score,home_win,match_result,home_margin,is_draw,crowd,home_rest_days,home_win_streak_pre,home_win_rate_l3,home_avg_pf_l3,home_avg_pa_l3,home_avg_margin_l3,home_games_l3,home_win_rate_l5,home_avg_pf_l5,home_avg_pa_l5,home_avg_margin_l5,home_games_l5,home_win_rate_l8,home_avg_pf_l8,home_avg_pa_l8,home_avg_margin_l8,home_games_l8,home_ladder_points_pre,home_season_games_pre,home_ladder_pct_pre,away_rest_days,away_win_streak_pre,away_win_rate_l3,away_avg_pf_l3,away_avg_pa_l3,away_avg_margin_l3,away_games_l3,away_win_rate_l5,away_avg_pf_l5,away_avg_pa_l5,away_avg_margin_l5,away_games_l5,away_win_rate_l8,away_avg_pf_l8,away_avg_pa_l8,away_avg_margin_l8,away_games_l8,away_ladder_points_pre,away_season_games_pre,away_ladder_pct_pre,h2h_home_win_rate,h2h_games,rest_days_diff,ladder_pct_diff,form_margin_diff_l5,home_state,away_state,is_interstate,venue_code
19830416_NorthMelbourneKangaroos_RichmondTigers,1983-04-16,1983,4,Aegis Park,North Melbourne Kangaroos,Richmond Tigers,127,103,1,home_win,24,0,14970.0,6.0,1,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,3.0,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,3.0,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,3.0,8.0,3,0.6666666666666666,7.0,0,0.0,74.0,116.33333333333333,-42.333333333333336,3.0,0.0,74.0,116.33333333333333,-42.333333333333336,3.0,0.0,74.0,116.33333333333333,-42.333333333333336,3.0,0.0,3,0.0,0.5,0,-1.0,0.6666666666666666,78.33333333333334,VIC,VIC,0,4
19830416_StKildaSaints_GeelongCats,1983-04-16,1983,4,Waverley Park,St Kilda Saints,Geelong Cats,79,90,0,away_win,-11,0,20826.0,7.0,0,0.0,66.33333333333333,134.0,-67.66666666666667,3.0,0.0,66.33333333333333,134.0,-67.66666666666667,3.0,0.0,66.33333333333333,134.0,-67.66666666666667,3.0,0.0,3,0.0,7.0,3,1.0,100.33333333333333,72.33333333333333,28.0,3.0,1.0,100.33333333333333,72.33333333333333,28.0,3.0,1.0,100.33333333333333,72.33333333333333,28.0,3.0,12.0,3,1.0,0.5,0,0.0,-1.0,-95.66666666666667,VIC,VIC,0,33
19830423_CarltonBlues_FitzroyLions,1983-04-23,1983,5,Princes Park,Carlton Blues,Fitzroy Lions,65,125,0,away_win,-60,0,25789.0,7.0,2,0.6666666666666666,92.66666666666667,92.0,0.6666666666666666,3.0,0.75,103.5,88.0,15.5,4.0,0.75,103.5,88.0,15.5,4.0,12.0,4,0.75,7.0,3,1.0,103.33333333333333,50.333333333333336,53.0,3.0,0.75,105.5,70.5,35.0,4.0,0.75,105.5,70.5,35.0,4.0,12.0,4,0.75,0.5,0,0.0,0.0,-19.5,VIC,VIC,0,24
19830423_CollingwoodMagpies_HawthornHawks,1983-04-23,1983,5,Victoria Park,Collingwood Magpies,Hawthorn Hawks,73,95,0,away_win,-22,0,28506.0,7.0,0,0.0,100.0,113.0,-13.0,3.0,0.25,108.75,116.0,-7.25,4.0,0.25,108.75,116.0,-7.25,4.0,4.0,4,0.25,7.0,0,0.6666666666666666,112.66666666666667,68.33333333333333,44.333333333333336,3.0,0.75,117.25,79.25,38.0,4.0,0.75,117.25,79.25,38.0,4.0,12.0,4,0.75,0.5,0,0.0,-0.5,-45.25,VIC,VIC,0,31
19830424_SydneySwans_StKildaSaints,1983-04-24,1983,5,Sydney Cricket Ground,Sydney Swans,St Kilda Saints,160,137,1,home_win,23,0,11276.0,8.0,0,0.0,47.333333333333336,126.66666666666667,-79.33333333333333,3.0,0.25,63.25,122.5,-59.25,4.0,0.25,63.25,122.5,-59.25,4.0,4.0,4,0.25,8.0,0,0.0,63.666666666666664,130.66666666666666,-67.0,3.0,0.0,69.5,123.0,-53.5,4.0,0.0,69.5,123.0,-53.5,4.0,0.0,4,0.0,0.5,0,0.0,0.25,-5.75,NSW,VIC,1,26
19830425_EssendonBombers_NorthMelbourneKangaroos,1983-04-25,1983,5,Waverley Park,Essendon Bombers,North Melbourne Kangaroos,128,123,1,home_win,5,0,47722.0,9.0,1,0.6666666666666666,109.33333333333333,94.66666666666667,14.666666666666666,3.0,0.5,109.5,98.75,10.75,4.0,0.5,109.5,98.75,10.75,4.0,8.0,4,0.5,9.0,2,0.6666666666666666,118.33333333333333,78.66666666666667,39.666666666666664,3.0,0.75,113.75,80.75,33.0,4.0,0.75,113.75,80.75,33.0,4.0,12.0,4,0.75,0.5,0,0.0,-0.25,-22.25,VIC,VIC,0,33
19830425_GeelongCats_MelbourneDemons,1983-04-25,1983,5,GMHBA Stadium,Geelong Cats,Melbourne Demons,110,121,0,away_win,-11,0,28591.0,9.0,4,1.0,95.0,73.66666666666667,21.333333333333332,3.0,1.0,97.75,74.0,23.75,4.0,1.0,97.75,74.0,23.75,4.0,16.0,4,1.0,9.0,0,0.3333333333333333,96.0,103.33333333333333,-7.333333333333333,3.0,0.25,103.25,111.25,-8.0,4.0,0.25,103.25,111.25,-8.0,4.0,4.0,4,0.25,0.5,0,0.0,0.75,31.75,VIC,VIC,0,11
19830425_RichmondTigers_WesternBulldogs,1983-04-25,1983,5,Melbourne Cricket Ground,Richmond Tigers,Western Bulldogs,114,116,0,away_win,-2,0,51651.0,9.0,0,0.0,83.0,113.33333333333333,-30.333333333333332,3.0,0.0,81.25,119.0,-37.75,4.0,0.0,81.25,119.0,-37.75,4.0,0.0,4,0.0,9.0,3,1.0,109.33333333333333,86.0,23.333333333333332,3.0,0.75,100.75,91.0,9.75,4.0,0.75,100.75,91.0,9.75,4.0,12.0,4,0.75,0.5,0,0.0,-0.75,-47.5,VIC,VIC,0,18
19830430_CollingwoodMagpies_NorthMelbourneKangaroos,1983-04-30,1983,6,Victoria Park,Collingwood Magpies,North Melbourne Kangaroos,130,108,1,home_win,22,0,28315.0,7.0,0,0.0,92.33333333333333,111.0,-18.666666666666668,3.0,0.2,101.6,111.8,-10.2,5.0,0.2,101.6,111.8,-10.2,5.0,4.0,5,0.2,5.0,0,0.6666666666666666,145.0,92.0,53.0,3.0,0.6,115.6,90.2,25.4,5.0,0.6,115.6,90.2,25.4,5.0,12.0,5,0.6,0.5,0,2.0,-0.39999999999999997,-35.599999999999994,VIC,VIC,0,31
19830430_EssendonBombers_WesternBulldogs,1983-04-30,1983,6,Windy Hill,Essendon Bombers,Western Bulldogs,181,49,1,home_win,132,0,26387.0,5.0,2,0.6666666666666666,108.33333333333333,112.33333333333333,-4.0,3.0,0.6,113.2,103.6,9.6,5.0,0.6,113.2,103.6,9.6,5.0,12.0,5,0.6,5.0,4,1.0,115.0,96.66666666666667,18.333333333333332,3.0,0.8,103.8,95.6,8.2,5.0,0.8,103.8,95.6,8.2,5.0,16.0,5,0.8,0.5,0,0.0,-0.20000000000000007,1.4000000000000004,VIC,VIC,0,36
